name,url,image_url,Item ID,Total Price,Weight,Per Carat Price,Color,Shape,Clarity,Cut,Color Intensity,Origin,Treatments,Length,Width,Height,Price per Length
Padparadscha Sapphire - Pear 2.49 Ct. #S12645,https://www.thenaturalsapphirecompany.com/2.49ct-madagascar-pear-padparadscha-sapphire-s12645-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s12645/image/certified-natural-madagascar-pear-padparadscha-sapphire-2.4900-cts-s12645-1-full.jpg,S12645,10159,2.49,"$4,079.92 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Pear,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,10.3,7.2,4.39,986.3106796116505
Padparadscha Sapphire - Oval 2.01 Ct. #S11983,https://www.thenaturalsapphirecompany.com/2.01ct-madagascar-oval-padparadscha-sapphire-s11983-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s11983/image/certified-natural-madagascar-oval-padparadscha-sapphire-2.0100-cts-s11983-1-full.jpg,S11983,10251,2.01,"$5,100 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Vivid,Madagascar,Heated,7.98,6.66,3.97,1284.5864661654134
Padparadscha Sapphire - Heart 4.02 Ct. #S11717,https://www.thenaturalsapphirecompany.com/4.02ct-madagascar-heart-padparadscha-sapphire-s11717-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s11717/image/certified-natural-ceylon(srilanka)-heart-padparadscha-sapphire-4.0200-cts-s11717-1-full.jpg,S11717,10251,4.02,"$2,550 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Heart,Eye Clean,Mixed Brilliant,Intense,Madagascar,Heated,9.11,10.47,6.07,1125.2469813391879
Padparadscha Sapphire - Pear 2.58 Ct. #S12644,https://www.thenaturalsapphirecompany.com/2.58ct-madagascar-pear-padparadscha-sapphire-s12644-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s12644/image/certified-natural-madagascar-pear-padparadscha-sapphire-2.5800-cts-s12644-1-full.jpg,S12644,10526,2.58,"$4,079.84 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Pear,Eye Clean,Mixed Brilliant,Intense,Madagascar,Heated,10.22,6.7,4.89,1029.9412915851271
Padparadscha Sapphire - Cushion 2.16 Ct. #S11930,https://www.thenaturalsapphirecompany.com/2.16ct-madagascar-cushion-padparadscha-sapphire-s11930-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s11930/image/certified-natural-ceylon(srilanka)-cushion-padparadscha-sapphire-2.1600-cts-s11930-1-full.jpg,S11930,10649,2.16,"$4,930.09 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,Eye Clean,Mixed Brilliant,Vivid,Madagascar,Heated,7.42,6.99,4.78,1435.1752021563343
Padparadscha Sapphire - Radiant 3.92 Ct. #S9397,https://www.thenaturalsapphirecompany.com/3.92ct-ceylon-sri-lanka-radiant-padparadscha-sapphire-s9397-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s9397/image/certified-natural-untreated-ceylon(srilanka)-radiant-padparadscha-sapphire-3.9200-cts-s9397-1-full.jpg,S9397,10662,3.92,"$2,719.9 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Radiant,Very Slightly Included,Radiant Cut,Medium,Ceylon (Sri Lanka),No Enhancement,9.93,7.26,5.12,1073.7160120845922
Padparadscha Sapphire - Oval 2.53 Ct. #S13435,https://www.thenaturalsapphirecompany.com/2.53ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s13435-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s13435/image/certified-natural-untreated-ceylon(srilanka)-oval-padparadscha-sapphire-2.5300-cts-s13435-1-full.jpg,S13435,10752,2.53,"$4,249.8 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,8.44,6.75,4.74,1273.9336492890995
Padparadscha Sapphire - Oval 8.56 Ct. #S7075,https://www.thenaturalsapphirecompany.com/8.56ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s7075-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s7075/image/certified-natural-untreated-ceylon(srilanka)-oval-padparadscha-sapphire-8.5600-cts-s7075-1-full.jpg,S7075,10841,8.56,"$1,266.47 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,12.55,10.52,7.87,863.8247011952191
Padparadscha Sapphire - Cushion 3.45 Ct. #S7852,https://www.thenaturalsapphirecompany.com/3.45ct-madagascar-cushion-padparadscha-sapphire-s7852-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s7852/image/certified-natural-untreated-madagascar-cushion-padparadscha-sapphire-3.4500-cts-s7852-1-full.jpg,S7852,10850,3.45,"$3,144.93 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,Very Slightly Included,Mixed Brilliant,Medium,Madagascar,No Enhancement,9.52,6.76,5.61,1139.7058823529412
Padparadscha Sapphire - Oval 2.13 Ct. #S9687,https://www.thenaturalsapphirecompany.com/2.13ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s9687-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s9687/image/certified-natural-untreated-ceylon(srilanka)-oval-padparadscha-sapphire-2.1300-cts-s9687-1-full.jpg,S9687,10863,2.13,"$5,100 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,8.23,7.36,4.29,1319.9270959902794
